"Company Name ","Symbol ","Sector ","Sub-Sector ","Listing Date ","Listing Board "
"Filsyn Corporation ``A``",FYN,INDUSTRIAL INDEX,CHEMICALS,1975/06/03,Main Board
"Filsyn Corporation ``B``",FYNB,INDUSTRIAL,CHEMICALS,1975/06/03,Main Board
"GEOGRACE Resources Philippines, Inc.",GEO,MINING & OIL INDEX,MINING,1972/02/07,Main Board
"Global-Estate Resorts, Inc.",GERI,PROPERTY INDEX,PROPERTY,1995/11/23,Main Board
"Globe Telecom, Inc.",GLO,SERVICES INDEX,TELECOMMUNICATIONS,1975/08/11,Main Board
"Globe Telecom, Inc. Series A Non-Voting Preferred Shares",GLOBA,SERVICES INDEX,TELECOMMUNICATIONS,2026/03/02,Main Board
"Globe Telecom, Inc. Series B Non-Voting Preferred Shares",GLOBB,SERVICES INDEX,TELECOMMUNICATIONS,2026/03/02,Main Board
"Globe Telecom, Inc. Series A Voting Perpetual Preferred Shares",GLOPA,SERVICES INDEX,TELECOMMUNICATIONS,2001/06/29,Main Board
"Globe Telecom, Inc. Series A Non-Voting Perpetual Preferred Shares",GLOPP,SERVICES INDEX,TELECOMMUNICATIONS,2014/08/22,Main Board
"GMA Network, Inc.",GMA7,SERVICES INDEX,MEDIA,2007/07/30,Main Board
"GMA Holdings, Inc. - Philippine Deposit Receipts",GMAP,SERVICES INDEX,MEDIA,2007/07/30,Main Board
"Grand Plaza Hotel Corporation",GPH,SERVICES INDEX,HOTEL & LEISURE,1992/12/10,Main Board
"Greenergy Holdings Incorporated",GREEN,INDUSTRIAL INDEX,ELECTRICAL COMPONENTS & EQUIPMENT,1996/09/26,Main Board
"Ginebra San Miguel, Inc.",GSMI,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1995/04/18,Main Board
"GT Capital Holdings, Inc.",GTCAP,HOLDING FIRMS INDEX,HOLDING FIRMS,2012/04/20,Main Board
"GT Capital Holdings, Inc. Non-Voting Perpetual Preferred Shares Series ``A``",GTPPA,HOLDING FIRMS INDEX,HOLDING FIRMS,2016/10/27,Main Board
"GT Capital Holdings, Inc. Non-Voting Perpetual Preferred Shares Series ``B``",GTPPB,HOLDING FIRMS INDEX,HOLDING FIRMS,2016/10/27,Main Board
"House of Investments, Inc.",HI,HOLDING FIRMS INDEX,HOLDING FIRMS,1962/07/02,Main Board
"AllHome Corp.",HOME,SERVICES INDEX,RETAIL,2019/10/10,Main Board
"8990 Holdings, Inc.",,PROPERTY INDEX,PROPERTY,2010/12/09,Main Board
"Haus Talk, Inc.",HTI,SME SECTOR,SME SECTOR,2022/01/17,SME Board
"I-Remit, Inc.",I,FINANCIALS INDEX,OTHER FINANCIAL INSTITUTIONS,2007/10/17,Main Board
"International Container Terminal Services, Inc.",ICT,SERVICES INDEX,TRANSPORTATION SERVICES,1992/03/23,Main Board
"Italpinas Development Corporation",IDC,,SMALL/MEDIUM/EMERGING BOARD,2015/12/07,SME Board
"Integrated Micro-Electronics, Inc.",IMI,INDUSTRIAL INDEX,ELECTRICAL COMPONENTS & EQUIPMENT,2010/01/21,Main Board
"Imperial Resources, Inc.",IMP,SERVICES INDEX,INFORMATION TECHNOLOGY,1970/08/31,Main Board
"Philippine Infradev Holdings Inc.",INFRA,PROPERTY INDEX,PROPERTY,1978/02/27,Main Board
"Ionics, Inc.",ION,INDUSTRIAL INDEX,ELECTRICAL COMPONENTS & EQUIPMENT,1995/07/18,Main Board
"IPM Holdings, Inc.",IPM,SERVICES INDEX,OTHER SERVICES,1998/06/17,Main Board
"iPeople, Inc.",IPO,SERVICES INDEX,EDUCATION,1990/01/24,Main Board
"Island Information & Technology, Inc.",IS,SERVICES INDEX,INFORMATION TECHNOLOGY,1988/12/06,Main Board
"Jackstones, Inc.",JAS,PROPERTY INDEX,PROPERTY,1967/10/27,Main Board
"Jollibee Foods Corporation",JFC,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1993/07/14,Main Board
"Jollibee Foods Corporation Non-Voting Perpetual Series A Preferred Shares",JFCPA,INDUSTRIAL,FOOD/BEVERAGE/TOBACCO,2021/10/14,Main Board
"Jollibee Foods Corporation Non-Voting Perpetual Series B Preferred Shares",JFCPB,INDUSTRIAL,FOOD/BEVERAGE/TOBACCO,2021/10/14,Main Board
"JG Summit Holdings, Inc.",JGS,HOLDING FIRMS INDEX,HOLDING FIRMS,1993/08/09,Main Board
"Jolliville Holdings Corporation",JOH,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2002/06/17,Main Board
"The Keepers Holdings, Inc.",KEEPR,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1991/09/03,Main Board
"Keppel Philippines Properties, Inc.",KEP,PROPERTY INDEX,PROPERTY,1989/09/11,Main Board
"KEPPEL PHILIPPINE HOLDINGS, INC. 'A'",,HOLDING FIRMS INDEX,HOLDING FIRMS,1987/08/26,Main Board
"KEPPEL PHILIPPINE HOLDINGS, INC. 'B'",,HOLDING FIRMS INDEX,HOLDING FIRMS,1987/08/26,Main Board
"Kepwealth Property Phils., Inc.",KPPI,,SMALL/MEDIUM/EMERGING BOARD,2019/08/19,SME Board
"City & Land Developers, Incorporated",LAND,PROPERTY INDEX,PROPERTY,1999/12/13,Main Board
"LBC Express Holdings, Inc.",LBC,SERVICES INDEX,TRANSPORTATION SERVICES,2001/12/21,Main Board
"Lepanto Consolidated Mining Company ``A``",LC,MINING & OIL INDEX,MINING,1947/04/30,Main Board
"Lepanto Consolidated Mining Company ``B``",LCB,MINING & OIL INDEX,MINING,1947/04/30,Main Board
"Liberty Flour Mills, Inc.",LFM,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1985/04/25,Main Board
"LMG Corp.",LMG,FINANCIALS INDEX,OTHER FINANCIAL INSTITUTIONS,1986/01/07,Main Board
"Lodestar Investment Holdings Corporation",LODE,HOLDING FIRMS INDEX,HOLDING FIRMS,1989/05/26,Main Board
"Pacific Online Systems Corporation",LOTO,SERVICES INDEX,CASINOS & GAMING,2007/04/12,Main Board
"LFM Properties Corporation",LPC,SMALL/MEDIUM/EMERGING BOARD,SMALL/MEDIUM/EMERGING BOARD,2022/11/09,SME Board
"Lopez Holdings Corporation",LPZ,HOLDING FIRMS INDEX,HOLDING FIRMS,1993/11/25,Main Board
"Lorenzo Shipping Corporation",LSC,SERVICES INDEX,TRANSPORTATION SERVICES,1996/07/22,Main Board
"LT Group, Inc.",LTG,HOLDING FIRMS INDEX,HOLDING FIRMS,1947/11/07,Main Board
"Manila Mining Corporation ``A``",MA,MINING & OIL INDEX,MINING,1959/12/17,Main Board
"Manila Mining Corporation ``B``",MAB,MINING & OIL INDEX,MINING,1959/12/17,Main Board
"MacroAsia Corporation",MAC,SERVICES INDEX,TRANSPORTATION SERVICES,1970/05/21,Main Board
"Macay Holdings, Inc.",MACAY,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1987/01/28,Main Board
"Metro Alliance Holdings & Equities Corp. ``A``",MAH,SERVICES INDEX,TRANSPORTATION SERVICES,1947/12/08,Main Board
"Metro Alliance Holdings & Equities Corp. ``B``",MAHB,SERVICES INDEX,TRANSPORTATION SERVICES,1947/12/08,Main Board
"Marcventures Holdings, Inc.",MARC,MINING & OIL INDEX,MINING,1958/01/10,Main Board
"Max`s Group, Inc.",MAXS,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2000/12/15,Main Board
"Manila Bulletin Publishing Corporation",MB,SERVICES INDEX,MEDIA,1990/04/18,Main Board
"Manila Broadcasting Company",MBC,SERVICES INDEX,MEDIA,1949/10/08,Main Board
"Metropolitan Bank & Trust Company",MBT,FINANCIALS INDEX,BANKS,1981/02/26,Main Board
"Medco Holdings, Inc.",MED,FINANCIALS INDEX,OTHER FINANCIAL INSTITUTIONS,1975/11/18,Main Board
"Medilines Distributors Incorporated",MEDIC,SERVICES,OTHER SERVICES,2021/12/07,Main Board
"Megaworld Corporation",MEG,PROPERTY INDEX,PROPERTY,1994/06/15,Main Board
"Manila Electric Company",MER,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,1992/01/08,Main Board
"Manulife Financial Corporation",MFC,FINANCIALS INDEX,OTHER FINANCIAL INSTITUTIONS,1999/09/27,Main Board
"Makati Finance Corporation",MFIN,,SMALL/MEDIUM/EMERGING BOARD,2003/01/06,SME Board
"Millennium Global Holdings, Inc.",MG,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1976/03/01,Main Board
"Metro Global Holdings Corporation",MGH,HOLDING FIRMS INDEX,HOLDING FIRMS,1964/05/04,Main Board
"Mabuhay Holdings Corporation",MHC,HOLDING FIRMS INDEX,HOLDING FIRMS,1990/10/22,Main Board
"Manila Jockey Club, Inc.",MJC,SERVICES INDEX,CASINOS & GAMING,1963/10/11,Main Board
"MJC Investments Corporation",MJIC,SERVICES INDEX,CASINOS & GAMING,1955/11/11,Main Board
"MerryMart Consumer Corp.",MM,,SMALL/MEDIUM/EMERGING BOARD,2020/06/15,SME Board
